【shimamoカバー】『恋／星野源（ドラマ「逃げるは恥だが役に立つ」主題歌）』 🎙🎙🎙	shimamoカバー	None	恋	星野源	ドラマ	逃げるは恥だが役に立つ	主題歌	None	 🎙🎙🎙
【shimamoカバー】『Family Song／星野源』 🎙🎙🎙	shimamoカバー	None	Family Song	星野源	None	None	None	None	 🎙🎙🎙
【shimamoカバー】『アイデア／星野源（朝ドラ「半分、青い。」主題歌）』 🎙🎙🎙	shimamoカバー	None	アイデア	星野源	朝ドラ	半分、青い。	主題歌	None	 🎙🎙🎙
【shimamoカバー】『スターライトパレード／SEKAI NO OWARI』 🎙🎙🎙	shimamoカバー	None	スターライトパレード	SEKAI NO OWARI	None	None	None	None	 🎙🎙🎙
【shimamoカバー】『RAIN／SEKAI NO OWARI（アニメ映画「メアリと魔女の花」主題歌）』 🎙🎙🎙	shimamoカバー	None	RAIN	SEKAI NO OWARI	アニメ映画	メアリと魔女の花	主題歌	None	 🎙🎙🎙
【shimamoカバー】『サザンカ／SEKAI NO OWARI』 🎙🎙🎙	shimamoカバー	None	サザンカ	SEKAI NO OWARI	None	None	None	None	 🎙🎙🎙
【shimamoカバー】『眠り姫／SEKAI NO OWARI』 💤💤💤	shimamoカバー	None	眠り姫	SEKAI NO OWARI	None	None	None	None	 💤💤💤
【shimamoカバー】『RPG／SEKAI NO OWARI』 🎙🎙🎙	shimamoカバー	None	RPG	SEKAI NO OWARI	None	None	None	None	 🎙🎙🎙
【shimamoカバー】『Dragon Night／SEKAI NO OWARI』 🎙🎙🎙	shimamoカバー	None	Dragon Night	SEKAI NO OWARI	None	None	None	None	 🎙🎙🎙
【shimamoカバー】『前前前世／RADWIMPS（映画「君の名は。」主題歌）』 🎙🎙🎙	shimamoカバー	None	前前前世	RADWIMPS	映画	君の名は。	主題歌	None	 🎙🎙🎙
【shimamoカバー】『なんでもないや／RADWIMPS（映画「君の名は。」挿入曲）』 🎙🎙🎙	shimamoカバー	None	なんでもないや	RADWIMPS	映画	君の名は。	挿入曲	None	 🎙🎙🎙
【shimamoカバー】『夢灯籠／RADWIMPS（映画「君の名は。」挿入曲）』 🎙🎙🎙	shimamoカバー	None	夢灯籠	RADWIMPS	映画	君の名は。	挿入曲	None	 🎙🎙🎙
